,geo_name,date,vessel_type,num_ships
0,Port Klang,2020-07-18,Cargo,1
1,Port Klang,2020-07-21,Tanker,1
2,Port Klang,2020-07-06,Tanker,2
3,Port Klang,2020-07-05,Cargo,1
4,Port Klang,2020-07-24,Tanker,1
5,Port Klang,2020-07-31,Cargo,1
6,Port Klang,2020-07-19,Cargo,5
7,Port Klang,2020-07-16,Tanker,1
8,Port Klang,2020-07-31,Tanker,5
9,Port Klang,2020-07-29,Tanker,1
10,Port Klang,2020-07-20,Tanker,3
11,Port Klang,2020-07-08,Cargo,1
12,Port Klang,2020-07-17,Tanker,1
13,Port Klang,2020-07-30,Tanker,1
14,Port Klang,2020-07-13,Cargo,1
15,Port Klang,2020-07-03,Cargo,3
16,Port Klang,2020-07-05,Tanker,4
17,Port Klang,2020-07-04,Cargo,2
18,Port Klang,2020-07-02,Cargo,2
19,Port Klang,2020-07-13,Tanker,2
20,Port Klang,2020-07-04,Tanker,3
21,Port Klang,2020-07-01,Cargo,2
22,Port Klang,2020-07-11,Tanker,1
23,Port Klang,2020-07-29,Cargo,1
24,Port Klang,2020-07-23,Tanker,2
25,Port Klang,2020-07-11,Cargo,2
26,Port Klang,2020-07-28,Tanker,1
27,Port Klang,2020-07-16,Cargo,4
28,Port Klang,2020-07-01,Tanker,1
29,Port Klang,2020-07-07,Tanker,1
30,Port Klang,2020-07-08,Tanker,6
31,Port Klang,2020-07-12,Tanker,3
32,Port Klang,2020-07-02,Tanker,4
33,Port Klang,2020-07-10,Cargo,1
34,Port Klang,2020-07-19,Tanker,1
35,Port Klang,2020-07-27,Tanker,3
36,Port Klang,2020-07-15,Cargo,1
37,Port Klang,2020-07-20,Cargo,2
38,Port Klang,2020-07-06,Cargo,1
39,Port Klang,2020-07-24,Cargo,1
40,Port Klang,2020-07-15,Tanker,2
41,Port Klang,2020-07-21,Cargo,1
42,Port Klang,2020-07-14,Cargo,3
43,Port Klang,2020-07-30,Cargo,2
44,Port Klang,2020-07-12,Cargo,1
45,Port Klang,2020-07-26,Tanker,2
46,Port Klang,2020-07-26,Cargo,2
47,Port Klang,2020-07-17,Cargo,1
48,Port Klang,2020-07-10,Tanker,2
49,Port Klang,2020-07-09,Tanker,1
50,Port Klang,2020-07-07,Cargo,3
